FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,People_Tested,People_Hospitalized,UID,ISO3,Testing_Rate,Hospitalization_Rate
,,Antioquia,Colombia,2020-09-01 04:28:31,7.1986,-75.3412,80996,1694,61466.0,17836.0,"Antioquia, Colombia",1264.159677807533,2.0914613067311967,,,,,,
,,Arauca,Colombia,2020-09-01 04:28:31,7.0762,-70.7105,925,17,673.0,235.0,"Arauca, Colombia",352.8191201263283,1.8378378378378382,,,,,,
,,Atlantico,Colombia,2020-09-01 04:28:31,10.6966,-74.8741,64128,2900,57951.0,3277.0,"Atlantico, Colombia",2529.188327272111,4.522205588822355,,,,,,
,,Bolivar,Colombia,2020-09-01 04:28:31,8.6704,-74.03,25267,702,22292.0,2273.0,"Bolivar, Colombia",1220.563158479501,2.7783274626983814,,,,,,
,,Boyaca,Colombia,2020-09-01 04:28:31,5.4545,-73.362,3824,78,2326.0,1420.0,"Boyaca, Colombia",314.11823462923536,2.0397489539748954,,,,,,
,,Caldas,Colombia,2020-09-01 04:28:31,5.2983,-75.2479,2964,56,1705.0,1203.0,"Caldas, Colombia",296.9181221231048,1.889338731443995,,,,,,
,,Capital District,Colombia,2020-09-01 04:28:31,4.711,-74.0721,211300,5437,151131.0,54732.0,"Capital District, Colombia",2850.56483814107,2.573118788452437,,,,,,
,,Caqueta,Colombia,2020-09-01 04:28:31,0.8699,-73.8419,6067,197,4122.0,1748.0,"Caqueta, Colombia",1511.124837791322,3.2470743365749133,,,,,,
,,Casanare,Colombia,2020-09-01 04:28:31,5.7589,-71.5724,1060,24,705.0,331.0,"Casanare, Colombia",252.0784582310751,2.2641509433962264,,,,,,
,,Cauca,Colombia,2020-09-01 04:28:31,2.705,-76.82600000000002,5285,158,3382.0,1745.0,"Cauca, Colombia",360.87697543441806,2.9895931882686853,,,,,,
,,Cesar,Colombia,2020-09-01 04:28:31,9.3373,-73.6536,10815,296,6242.0,4277.0,"Cesar, Colombia",900.8191081932476,2.7369394359685617,,,,,,
,,Choco,Colombia,2020-09-01 04:28:31,5.2528,-76.82600000000002,3722,136,3297.0,289.0,"Choco, Colombia",695.9272735431709,3.6539494895217626,,,,,,
,,Cordoba,Colombia,2020-09-01 04:28:31,8.0493,-75.574,19738,1303,14991.0,3444.0,"Cordoba, Colombia",1105.9047514459742,6.6014793798763804,,,,,,
,,Cundinamarca,Colombia,2020-09-01 04:28:31,5.026,-74.03,23128,659,16499.0,5970.0,"Cundinamarca, Colombia",792.3098531719113,2.8493600830162573,,,,,,
,,Guainia,Colombia,2020-09-01 04:28:31,2.5854,-68.5247,140,2,17.0,121.0,"Guainia, Colombia",290.97559961757486,1.4285714285714286,,,,,,
